City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Lincoln,AU,-34.7333,135.8667,55.72,84,100,16.28,overcast clouds
79,Suntar,RU,62.1444,117.6319,33.48,98,100,11.63,snow
80,Sakakah,SA,29.9697,40.2064,77.61,30,85,12.77,overcast clouds
81,Xique-Xique,BR,-10.8218,-42.7263,87.53,48,100,3.22,overcast clouds
82,Bolshaya Rechka,RU,51.9503,104.7355,43.07,79,3,6.15,clear sky
83,Kumano,JP,34.3442,132.5894,58.12,79,81,9.42,broken clouds
84,Busselton,AU,-33.65,115.3333,55.27,90,82,8.25,broken clouds
85,Chiang Kham,TH,19.5233,100.3,70.88,93,93,2.04,overcast clouds
86,Pevek,RU,69.7008,170.3133,15.42,94,100,5.26,overcast clouds
87,Purpe,RU,64.4803,76.6897,29.41,65,100,19.04,overcast clouds
88,Ponta Do Sol,PT,32.6667,-17.1,71.01,70,100,3.18,overcast clouds
89,East London,ZA,-33.0153,27.9116,69.28,79,100,10.0,overcast clouds
90,Tarbagatay,RU,51.4803,107.3602,24.33,70,98,1.52,overcast clouds
91,Antalaha,MG,-14.9003,50.2788,69.37,89,24,2.15,few clouds
92,Vao,NC,-22.6667,167.4833,72.75,77,100,25.57,overcast clouds
93,Bethel,US,41.3712,-73.414,60.89,70,100,5.57,light rain
94,Neryungri,RU,56.6709,124.6491,6.73,97,100,4.76,overcast clouds
95,Valavanur,IN,11.9209,79.5824,75.83,67,56,5.1,broken clouds
96,Cabo San Lucas,MX,22.8909,-109.9124,90.61,63,10,13.22,clear sky
97,Bluff,NZ,-46.6,168.3333,47.34,84,100,17.78,light rain
98,Clyde River,CA,70.4692,-68.5914,18.75,90,98,8.52,overcast clouds
99,Vardo,NO,70.3705,31.1107,39.18,65,75,24.16,broken clouds
100,Honiara,SB,-9.4333,159.95,76.12,90,100,3.49,overcast clouds
101,Porto Novo,BJ,6.4965,2.6036,78.31,88,68,5.08,light rain
102,Bud,US,39.447,-86.1758,78.85,47,0,16.17,clear sky
103,Soe,ID,-9.8607,124.284,67.48,89,70,3.65,broken clouds
104,Skelleftea,SE,64.7507,20.9528,34.16,86,0,9.22,clear sky
105,Teknaf,BD,20.8624,92.3058,77.65,90,100,5.55,moderate rain
106,Cayenne,GF,4.9333,-52.3333,87.84,62,0,12.66,clear sky
107,Trier,DE,49.7557,6.6394,62.17,86,100,11.92,overcast clouds
108,Hindoria,IN,23.9,79.5667,65.88,62,0,0.92,clear sky
109,Jiexiu,CN,37.0244,111.9125,53.91,30,19,1.45,few clouds
110,Bengkulu,ID,-3.8004,102.2655,76.39,89,100,3.33,overcast clouds
111,Wasilla,US,61.5814,-149.4394,28.06,90,0,3.44,clear sky
112,Luderitz,NA,-26.6481,15.1594,62.15,82,95,16.35,overcast clouds
113,Tiznit,MA,29.5833,-9.5,78.58,12,100,10.49,overcast clouds
114,Provideniya,RU,64.3833,-173.3,27.18,87,72,5.23,broken clouds
115,Alekseyevsk,RU,57.8406,108.3492,45.0,64,100,12.46,overcast clouds
116,Waingapu,ID,-9.6567,120.2641,80.71,82,94,3.2,overcast clouds
117,Paita,PE,-5.0892,-81.1144,68.65,71,99,16.98,overcast clouds
118,Chuy,UY,-33.6971,-53.4616,62.37,82,79,12.82,broken clouds
119,Adrar,MR,20.5022,-10.0711,90.05,12,0,9.73,clear sky
120,Laurel,US,39.0993,-76.8483,67.17,70,100,4.61,overcast clouds
121,Fjerritslev,DK,57.0813,9.2664,47.89,87,100,10.36,overcast clouds
122,New Norfolk,AU,-42.7826,147.0587,51.3,77,100,3.0,overcast clouds
123,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,3.44,clear sky
124,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,75,24,23.73,few clouds
125,Port Blair,IN,11.6667,92.75,80.64,83,100,16.06,overcast clouds
126,Te Anau,NZ,-45.4167,167.7167,50.61,97,100,1.59,light rain
127,Husavik,IS,66.0449,-17.3389,34.05,77,100,10.22,overcast clouds
128,Houma,US,29.5958,-90.7195,82.0,58,0,17.27,clear sky
129,Touros,BR,-5.1989,-35.4608,81.46,69,77,13.91,broken clouds
130,Okhotsk,RU,59.3833,143.3,18.37,57,18,13.24,few clouds
131,Ilulissat,GL,69.2167,-51.1,33.82,86,100,1.14,overcast clouds
132,Albanel,CA,48.8832,-72.4487,66.09,55,2,6.15,clear sky
133,Champerico,GT,14.3,-91.9167,83.84,72,7,6.4,clear sky
134,Farafangana,MG,-22.8167,47.8333,72.54,88,93,9.62,overcast clouds
135,Dingle,PH,10.9995,122.6711,75.9,92,100,4.99,overcast clouds
136,San Carlos,VE,9.6612,-68.5827,89.17,57,48,2.51,scattered clouds
137,Candelaria,PH,13.9311,121.4233,76.05,95,32,4.12,scattered clouds
138,Atuona,PF,-9.8,-139.0333,75.76,80,48,16.24,light rain
139,Tall Kayf,TR,37.0833,41.0667,61.14,41,0,5.75,clear sky
140,Ajdabiya,LY,30.7554,20.2263,69.76,60,0,12.91,clear sky
141,Carnarvon,AU,-24.8667,113.6333,68.05,69,19,17.05,few clouds
142,Geraldton,AU,-28.7667,114.6,63.61,71,100,16.58,overcast clouds
143,Sabha,LY,27.0377,14.4283,68.27,25,0,9.66,clear sky
144,Palana,RU,59.1167,159.9667,20.68,81,75,8.23,broken clouds
145,Farah,AF,32.5,62.5,65.41,33,0,3.87,clear sky
146,Karratha,AU,-20.7377,116.8463,70.88,64,0,17.09,clear sky
147,Eldersburg,US,39.4037,-76.9503,66.04,69,100,8.01,overcast clouds
148,Axim,GH,4.8699,-2.2405,78.37,86,80,6.11,broken clouds
149,Roald,NO,62.5833,6.1333,48.76,87,75,17.27,broken clouds
150,Krasnoselkup,RU,65.7,82.4667,28.02,80,100,15.88,overcast clouds
151,Lyngseidet,NO,69.5763,20.2189,39.2,88,100,12.19,overcast clouds
152,Grand Gaube,MU,-20.0064,57.6608,73.38,75,41,3.0,scattered clouds
153,Saint George,US,37.1041,-113.5841,54.95,39,20,19.57,few clouds
154,Hermanus,ZA,-34.4187,19.2345,65.8,86,42,14.88,scattered clouds
155,Egvekinot,RU,66.3167,-179.1667,12.49,92,100,2.93,overcast clouds
156,Eyl,SO,7.9803,49.8164,78.91,79,10,5.57,clear sky
157,Turukhansk,RU,65.8167,87.9833,28.38,95,100,15.21,light snow
158,Nizhniy Kuranakh,RU,58.8353,125.4869,16.03,89,100,5.41,overcast clouds
159,Yuncheng,CN,35.0231,110.9928,60.21,34,100,4.34,overcast clouds
160,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,18.41,scattered clouds
161,Takoradi,GH,4.8845,-1.7554,78.73,84,18,6.91,few clouds
162,Kenai,US,60.5544,-151.2583,38.14,100,0,0.0,clear sky
163,Komsomolskiy,UZ,40.4272,71.7189,50.72,81,99,2.3,overcast clouds
164,Gizo,SB,-8.103,156.8419,80.96,72,100,1.03,overcast clouds
165,Bayangol,RU,50.6977,103.4656,31.62,70,7,3.31,clear sky
166,Pangnirtung,CA,66.1451,-65.7125,30.2,86,75,2.3,broken clouds
167,Moree,AU,-29.4667,149.85,60.87,81,19,2.48,few clouds
168,Maicao,CO,11.3832,-72.2432,85.1,69,85,9.73,overcast clouds
169,Guerrero Negro,MX,27.9769,-114.0611,73.87,51,100,11.05,overcast clouds
170,Narsaq,GL,60.9167,-46.05,37.62,95,100,6.11,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,36.88,95,96,6.02,light rain
172,Avarua,CK,-21.2078,-159.775,77.05,94,75,11.5,light rain
173,Broken Hill,AU,-31.95,141.4333,57.74,93,93,5.48,overcast clouds
174,Acarau,BR,-2.8856,-40.12,83.77,67,50,17.54,scattered clouds
175,Dikson,RU,73.5069,80.5464,26.76,86,100,16.22,overcast clouds
176,Maralal,KE,1.0968,36.698,62.74,58,6,10.98,clear sky
177,Tabou,CI,4.423,-7.3528,77.29,86,96,5.79,overcast clouds
178,The Hammocks,US,25.6715,-80.4445,85.01,60,40,10.36,scattered clouds
179,Bubaque,GW,11.2833,-15.8333,83.5,68,100,3.29,overcast clouds
180,Lappeenranta,FI,61.0587,28.1887,38.79,75,0,6.91,clear sky
181,Alofi,NU,-19.0595,-169.9187,75.18,83,100,9.01,light rain
182,Kruisfontein,ZA,-34.0033,24.7314,63.88,94,100,1.86,overcast clouds
183,Riachao Do Jacuipe,BR,-11.8069,-39.3856,89.28,41,93,14.72,overcast clouds
184,Sao Filipe,CV,14.8961,-24.4956,80.19,68,0,9.73,clear sky
185,Hobart,AU,-42.8794,147.3294,51.66,74,75,12.66,broken clouds
186,Rio Grande,BR,-32.035,-52.0986,62.46,71,0,8.61,clear sky
187,Trebisov,SK,48.6286,21.7195,57.09,89,50,4.92,scattered clouds
188,Ludvika,SE,60.1496,15.1878,40.77,73,98,1.68,overcast clouds
