City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Ponta Do Sol,PT,71.01,overcast clouds,32.6667,-17.1,Hotel do Campo
89,East London,ZA,69.28,overcast clouds,-33.0153,27.9116,Tu Casa
91,Antalaha,MG,69.37,few clouds,-14.9003,50.2788,Hotel Vitasoa
92,Vao,NC,72.75,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
93,Bethel,US,60.89,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
95,Valavanur,IN,75.83,broken clouds,11.9209,79.5824,Kavi
96,Cabo San Lucas,MX,90.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
100,Honiara,SB,76.12,overcast clouds,-9.4333,159.95,Heritage Park Hotel
101,Porto Novo,BJ,78.31,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
102,Bud,US,78.85,clear sky,39.447,-86.1758,Ted McQuinn Trust
103,Soe,ID,67.48,broken clouds,-9.8607,124.284,Dena Hotel
105,Teknaf,BD,77.65,moderate rain,20.8624,92.3058,Forestry Guesthouse
106,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Trier,DE,62.17,overcast clouds,49.7557,6.6394,Hotel Deutscher Hof Trier
108,Hindoria,IN,65.88,clear sky,23.9,79.5667,जहान होटल
109,Jiexiu,CN,53.91,few clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
110,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
112,Luderitz,,62.15,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
113,Tiznit,MA,78.58,overcast clouds,29.5833,-9.5,
116,Waingapu,ID,80.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
117,Paita,PE,68.65,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
118,Chuy,UY,62.37,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Adrar,MR,90.05,clear sky,20.5022,-10.0711,
120,Laurel,US,67.17,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
122,New Norfolk,AU,51.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
123,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
124,Praia Da Vitoria,PT,64.76,few clouds,38.7333,-27.0667,Hotel Branco I
125,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
126,Te Anau,NZ,50.61,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
